month,role,atm_median,spread_median,observations
2021-10-01,source,6.56,0.2999999999999998,147
2021-10-01,target,9.67975,0.6999999999999993,126
2021-11-01,source,6.98875,0.3174999999999999,154
2021-11-01,target,10.646,0.7849999999999993,132
2021-12-01,source,6.885,0.375,161
2021-12-01,target,11.44875,0.7899999999999991,138
2022-01-01,source,6.485,0.3500000000000014,147
2022-01-01,target,10.825,0.7025000000000006,126
2022-02-01,source,6.96,0.3575000000000004,140
2022-02-01,target,11.192250000000001,0.9000000000000004,120
2022-03-01,source,8.09,0.4000000000000003,161
2022-03-01,target,14.8875,1.0099999999999998,138
2022-04-01,source,8.43,0.3999999999999986,147
2022-04-01,target,14.20375,1.2049999999999992,126
2022-05-01,source,10.015,0.4000000000000003,154
2022-05-01,target,15.219999999999999,1.0300000000000002,132
2022-06-01,source,10.10625,0.3924999999999992,154
2022-06-01,target,15.12125,1.3000000000000007,132
2022-07-01,source,11.085,0.375,147
2022-07-01,target,16.205,1.3500000000000005,126
2022-08-01,source,10.46,0.3499999999999996,161
2022-08-01,target,15.5375,1.1399999999999997,138
2022-09-01,source,12.092500000000001,0.4000000000000003,154
2022-09-01,target,15.54,1.0850000000000017,132
2022-10-01,source,12.5725,0.5,147
2022-10-01,target,16.30875,1.102500000000001,126
2022-11-01,source,11.8575,0.4499999999999993,154
2022-11-01,target,15.245000000000001,0.9749999999999988,132
2022-12-01,source,10.51,0.49499999999999966,154
2022-12-01,target,13.0225,1.29,132
2023-01-01,source,10.283750000000001,0.4000000000000003,154
2023-01-01,target,13.276250000000001,0.9550000000000001,132
2023-02-01,source,9.95125,0.3949999999999996,140
2023-02-01,target,13.118749999999999,0.9749999999999996,120
2023-03-01,source,9.845,0.4250000000000007,161
2023-03-01,target,15.3315,1.0025000000000004,138
2023-04-01,source,8.395,0.38749999999999973,140
2023-04-01,target,13.575,0.9749999999999996,120
2023-05-01,source,8.0375,0.3800000000000008,161
2023-05-01,target,12.64025,1.049999999999999,138
2023-06-01,source,7.865,0.3899999999999997,154
2023-06-01,target,11.5185,0.8750000000000009,132
2023-07-01,source,7.965,0.4000000000000003,147
2023-07-01,target,11.625,0.7750000000000004,126
2023-08-01,source,7.935,0.4000000000000003,161
2023-08-01,target,13.3225,0.9750000000000005,138
2023-09-01,source,8.005,0.375,147
2023-09-01,target,13.036,0.9775,126
2023-10-01,source,8.12625,0.3949999999999996,154
2023-10-01,target,13.59625,0.8375000000000004,132
2023-11-01,source,7.28875,0.3499999999999996,154
2023-11-01,target,12.01025,0.75,132
2023-12-01,source,7.29,0.4000000000000003,147
2023-12-01,target,11.995999999999999,1.004999999999999,126
2024-01-01,source,7.275,0.3000000000000007,161
2024-01-01,target,10.97875,1.0499999999999998,138
2024-02-01,source,6.985,0.3899999999999997,147
2024-02-01,target,9.8975,1.005,126
2024-03-01,source,6.34,0.3899999999999997,147
2024-03-01,target,9.27875,1.0,126
2024-04-01,source,6.8975,0.4050000000000002,154
2024-04-01,target,10.0375,0.8999999999999995,132
2024-05-01,source,6.505,0.3899999999999997,161
2024-05-01,target,9.73125,0.9375,138
2024-06-01,source,6.57375,0.43000000000000016,140
2024-06-01,target,11.565000000000001,1.13,120
2024-07-01,source,6.325,0.4300000000000006,161
2024-07-01,target,11.159749999999999,0.9749999999999996,138
2024-08-01,source,8.18875,0.5999999999999996,154
2024-08-01,target,11.86,1.0,132
2024-09-01,source,7.835,0.5149999999999997,147
2024-09-01,target,11.325,0.9575000000000005,126
2024-10-01,source,7.575,0.5,161
2024-10-01,target,12.096250000000001,1.0,138
2024-11-01,source,7.76,0.5249999999999995,147
2024-11-01,target,12.615,0.9299999999999997,126
2024-12-01,source,8.192499999999999,0.5099999999999998,154
2024-12-01,target,12.379999999999999,1.0874999999999995,132
2025-01-01,source,8.5925,0.5,161
2025-01-01,target,11.967500000000001,0.9675000000000002,138
2025-02-01,source,7.88,0.5,140
2025-02-01,target,11.629999999999999,1.0,120
2025-03-01,source,7.62,0.4849999999999994,147
2025-03-01,target,11.9475,0.8624999999999998,126
2025-04-01,source,9.7575,0.6900000000000004,154
2025-04-01,target,12.80375,0.9474999999999998,132
2025-05-01,source,9.39625,0.5500000000000007,154
2025-05-01,target,11.42875,0.9000000000000004,132
2025-06-01,source,8.815,0.5300000000000011,147
2025-06-01,target,10.739999999999998,1.0099999999999998,126
2025-07-01,source,8.175,0.4499999999999993,161
2025-07-01,target,10.171,0.8999999999999986,138
2025-08-01,source,7.86,0.4499999999999993,147
2025-08-01,target,9.969999999999999,0.9874999999999998,126
2025-09-01,source,7.7125,0.4499999999999993,154
2025-09-01,target,9.89125,0.9625000000000004,132
2025-10-01,source,7.29,0.4500000000000002,161
2025-10-01,target,9.302,1.0724999999999998,138
2025-11-01,source,7.215,0.4224999999999994,140
2025-11-01,target,8.90375,1.0375000000000003,120
2025-12-01,source,6.645,0.4199999999999999,161
2025-12-01,target,8.745000000000001,1.0875,138
2026-01-01,source,7.27125,0.4250000000000007,154
2026-01-01,target,9.02125,0.8600000000000003,132
2026-02-01,source,8.13125,0.4250000000000007,140
2026-02-01,target,10.13525,0.8749999999999996,120
2026-03-01,source,8.260000000000002,0.5,154
2026-03-01,target,13.125,1.0,132
2026-04-01,source,7.575,0.3999999999999986,154
2026-04-01,target,11.526250000000001,1.0,132
2026-05-01,source,7.005,0.3399999999999998,147
2026-05-01,target,10.31625,0.9999999999999992,126
2026-06-01,source,6.625,0.3499999999999996,77
2026-06-01,target,9.675,1.0,66
